rank,symbol,name,exchange,price,return_1d,return_5d,return_20d,volume_ratio_20d,price_vs_sma20,sma20_vs_sma50,distance_from_20d_high,rsi_14,price_as_of,price_momentum_score,market_cap,news_signal,news_count,headlines,news_urls,latest_news_utc,news_score,combined_score,signal,research_status,scan_status,history_coverage_ratio
1,LUXE,"LuxExperience B.V. American Depositary Shares, each representing one Ordinary Share",NYSE,9.479999542236328,0.07605,0.277628,0.207643,3.094238,0.223857,-0.020312,0.0,71.428568,2026-09-17,79.457171,1324354333.9304924,0.3,5,Luxe (LUXE) Q4 2026 Earnings Call Transcript | LuxExperience BV (LUXE) (Q4 2026) Earnings Call Highlights: All Three Segments Return to Growth ... | LuxExperience B.V. Q4 2026 Earnings Call Summary,https://finance.yahoo.com/markets/stocks/articles/luxe-luxe-q4-2026-earnings-024301125.html | https://finance.yahoo.com/markets/stocks/articles/luxexperience-bv-luxe-q4-2026-010027254.html | https://finance.yahoo.com/markets/stocks/articles/luxexperience-b-v-q4-2026-164738799.html,2026-09-17T02:43:01+00:00,56.0,75.938595,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998157361341441
2,SDGR,"Schrodinger, Inc. - Common Stock",NASDAQ,30.239999771118164,0.263686,0.608511,0.523426,5.619962,0.457806,0.140241,0.0,81.08792,2026-09-17,79.764556,2262122173.5983505,0.1,5,"Schrödinger Reports Inducement Grants under Nasdaq Listing Rule 5635(c)(4) | Schrodinger (SDGR) Soars 12.1%: Is Further Upside Left in the Stock? | Schrodinger Establishes Tectora Therapeutics With RA Capital, New Enterprise Associates",https://finance.yahoo.com/markets/stocks/articles/schr-dinger-reports-inducement-grants-123000554.html | https://finance.yahoo.com/markets/stocks/articles/schrodinger-sdgr-soars-12-1-105100317.html | https://finance.yahoo.com/healthcare/articles/schrodinger-establishes-tectora-therapeutics-ra-113301342.html,2026-09-17T12:30:00+00:00,52.0,75.599873,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998157361341441
3,MTC,"MMTec, Inc. - Common Shares",NASDAQ,6.559999942779541,0.254302,0.389831,1.116129,3.052389,0.53756,0.212797,0.0,85.309284,2026-09-17,79.898891,653296034.4615397,0.0,2,Admission to Trading | Full Year Results 2026,https://finance.yahoo.com/markets/stocks/articles/admission-trading-070500106.html | https://finance.yahoo.com/markets/stocks/articles/full-results-2026-083600590.html,2026-09-03T07:05:00+00:00,50.0,75.414057,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998157361341441
4,SECZ,Securitize Corp. Common Stock,NYSE,8.930000305175781,0.149292,0.110697,0.480929,3.079879,0.231894,0.013591,0.0,71.647503,2026-09-17,79.464138,1457962616.874733,0.1,5,"SEC Sends Strong Signal to Robinhood, Coinbase Investors | Crypto Ruling Triggers Best Day for This Digital Asset Stock | Securitize Surges After SEC Clears Path for Tokenized Stock Trading",https://finance.yahoo.com/markets/crypto/articles/sec-sends-strong-signal-robinhood-191533748.html | https://finance.yahoo.com/m/f39bcdb6-de8b-3f63-bd01-88303ec66c4a/crypto-ruling-triggers-best.html | https://finance.yahoo.com/m/7cb8bc5a-18f6-3d64-9e8b-c6a549a6a774/securitize-surges-after-sec.html,2026-09-17T19:15:33+00:00,52.0,75.344517,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998157361341441
5,PSIX,"Power Solutions International, Inc. - Common Stock",NASDAQ,45.54999923706055,0.136194,0.130553,0.221507,3.206856,0.181674,0.077213,0.0,66.235385,2026-09-17,79.29191,1050631229.9024582,0.1,5,"Forgent Power Solutions (FPS) Q4 2026 Earnings Call Transcript | Why Is Solaris Energy Infrastructure, Inc. (SEI) Down 6.7% Since Last Earnings Report? | Ampco-Pittsburgh vs. NN: Which Industrial Stock Is the Better Buy?",https://finance.yahoo.com/markets/stocks/articles/forgent-power-solutions-fps-q4-134301999.html | https://finance.yahoo.com/markets/stocks/articles/why-solaris-energy-infrastructure-inc-153037369.html | https://finance.yahoo.com/markets/stocks/articles/ampco-pittsburgh-vs-nn-industrial-164300467.html,2026-09-16T13:43:01+00:00,52.0,75.198124,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998157361341441
6,GLOO,"Gloo Holdings, Inc. - Common Stock",NASDAQ,4.909999847412109,0.206388,0.633943,0.474474,8.019771,0.454599,0.013177,0.0,76.562494,2026-09-17,79.620546,449417397.3434715,0.0,5,"Gloo (GLOO) Q2 2027 Earnings Call Transcript | Gloo Holdings, Inc. Q2 2027 Earnings Call Summary | Gloo Holdings Inc (GLOO) Q2 2026 Earnings Call Highlights: Revenue Surges 188% as Profitability ...",https://finance.yahoo.com/markets/stocks/articles/gloo-gloo-q2-2027-earnings-155825833.html | https://finance.yahoo.com/markets/stocks/articles/gloo-holdings-inc-q2-2027-123000622.html | https://finance.yahoo.com/markets/stocks/articles/gloo-holdings-inc-gloo-q2-050022971.html,2026-09-10T15:58:25+00:00,50.0,75.177464,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998157361341441
7,BRR,"ProCap Financial, Inc. - Common Stock",NASDAQ,3.440000057220459,0.058462,0.154362,0.638095,2.029257,0.325116,0.222568,0.0,87.209301,2026-09-17,79.600954,303991343.05654764,0.0,3,"ProCap Financial Doubles Down on AI; Plans to Change Corporate Name to Silvia, Inc. and Begin Trading Under Ticker ""SVIA"" | ProCap Financial Repurchases More Than 2% of Shares Outstanding at an Approximate 40% Discount to NAV | Silvia Outperforms Every Major AI Model on Tax and Open Sources the Benchmark Test",https://finance.yahoo.com/technology/ai/articles/procap-financial-doubles-down-ai-110000750.html | https://finance.yahoo.com/markets/stocks/articles/procap-financial-repurchases-more-2-110000463.html | https://finance.yahoo.com/technology/ai/articles/silvia-outperforms-every-major-ai-110000671.html,2026-09-17T11:00:00+00:00,50.0,75.160811,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998157361341441
8,TRVG,trivago N.V. - American Depositary Shares,NASDAQ,6.690000057220459,0.19678,0.184071,0.365306,5.571864,0.161458,0.047711,0.0,64.498643,2026-09-17,79.236643,472036061.2973871,0.0,5,"trivago N.V.:  Brandon Pedersen, Vesting of Restricted Share Units. | trivago N.V.: Dr. Mathias Hansen, Vesting of Restricted Share Units. | trivago N.V.: Dr. Wolf Schmuhl, Vesting of Restricted Share Units.",https://finance.yahoo.com/markets/stocks/articles/trivago-n-v-brandon-pedersen-200200160.html | https://finance.yahoo.com/markets/stocks/articles/trivago-n-v-dr-mathias-200200770.html | https://finance.yahoo.com/markets/stocks/articles/trivago-n-v-dr-wolf-200200259.html,2026-09-04T20:02:00+00:00,50.0,74.851146,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998157361341441
9,TEM,"Tempus AI, Inc. - Class A Common Stock",NASDAQ,80.36000061035156,0.148492,0.368063,0.312,2.044586,0.218776,0.162104,0.0,62.394252,2026-09-17,78.870341,14499737102.288635,0.0,5,Will 2026 Doom and Gloom Lead to Opportunity? | Tempus AI Stock Surges as Revenue Optimism Boosts Winning Streak | Tempus AI Is Ripping 30% Higher This Week After Morgan Stanley Boosts Revenue Outlook,https://finance.yahoo.com/markets/stocks/articles/2026-doom-gloom-lead-opportunity-195200609.html | https://finance.yahoo.com/m/80f4c1ac-2f42-3062-a0b4-203f0800ad4f/tempus-ai-stock-surges-as.html | https://finance.yahoo.com/markets/stocks/articles/tempus-ai-ripping-30-higher-154733359.html,2026-09-17T19:52:00+00:00,50.0,74.53979,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998157361341441
10,FPS,"Forgent Power Solutions, Inc. Class A Common Stock",NYSE,38.060001373291016,0.092423,0.303425,0.104469,2.347295,0.201484,-0.109717,0.0,63.416665,2026-09-17,77.146755,10448501574.645592,0.2,5,"Is Forgent Power Solutions (FPS) Too Rich After Record Earnings? | Why Forgent Power Stock Keeps Going Up | Forgent (FPS) Powers 11% Higher on Swing to Profits, Upbeat Outlook",https://finance.yahoo.com/markets/stocks/articles/forgent-power-solutions-fps-too-191503101.html | https://finance.yahoo.com/markets/stocks/articles/why-forgent-power-stock-keeps-015007577.html | https://finance.yahoo.com/markets/stocks/articles/forgent-fps-powers-11-higher-231158558.html,2026-09-17T19:15:03+00:00,54.0,73.674741,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998157361341441
11,PGEN,"Precigen, Inc. - Common Stock",NASDAQ,7.869999885559082,0.057796,0.178144,0.099162,2.211744,0.108061,0.104347,0.0,65.044246,2026-09-17,77.044723,2817737352.9161177,0.2,5,"Kiniksa Pharmaceuticals Stock Rallies 41% in Three Months: Here's Why | Novo Expands AI Push With Anthropic Deal to Accelerate Drug Discovery | SION to Cut Workforce by Nearly Half After CF Study Failure, Stock Down",https://finance.yahoo.com/healthcare/articles/kiniksa-pharmaceuticals-stock-rallies-41-161300393.html | https://finance.yahoo.com/healthcare/articles/novo-expands-ai-push-anthropic-143400028.html | https://finance.yahoo.com/healthcare/articles/sion-cut-workforce-nearly-half-152600291.html,2026-09-17T16:13:00+00:00,54.0,73.588014,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998157361341441
12,FTK,"Flotek Industries, Inc. Common Stock",NYSE,30.600000381469727,0.087807,0.115974,0.215733,1.183168,0.210108,-0.071907,0.0,74.031022,2026-09-17,75.921437,1108345141.2169971,0.5,5,Update: Flotek Industries Shares Rise After Raising 2026 Revenue Guidance | Flotek raises 2026 revenue guidance to $360 million-$370 million | Flotek Industries Raises Full-Year Revenue Guidance; Shares Up Pre-Bell,https://finance.yahoo.com/markets/stocks/articles/flotek-industries-shares-rise-raising-184224758.html | https://finance.yahoo.com/markets/stocks/articles/flotek-raises-2026-revenue-guidance-124731054.html | https://finance.yahoo.com/markets/stocks/articles/flotek-industries-raises-full-revenue-105637295.html,2026-09-09T18:42:24+00:00,60.0,73.533221,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998157361341441
13,CYPH,Cypherpunk Technologies Inc. - Common Stock,NASDAQ,3.069999933242798,0.258197,0.395454,1.869159,1.677822,0.500489,0.657727,0.0,67.302052,2026-09-17,77.613308,330836645.54595137,0.0,3,Top Premarket Gainers | Winklevoss-Backed Cypherpunk Launches 'World's Largest' Zcash Mining Fleet | Leap Therapeutics Announces Publication of DeFianCe Study Results in Clinical Cancer Research,https://finance.yahoo.com/markets/stocks/articles/top-premarket-gainers-111349678.html | https://finance.yahoo.com/markets/crypto/articles/winklevoss-backed-cypherpunk-launches-worlds-093103841.html | https://finance.yahoo.com/healthcare/articles/leap-therapeutics-announces-publication-defiance-110000440.html,2026-08-24T11:13:49+00:00,50.0,73.471312,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998157361341441
