rank,symbol,name,exchange,price,return_1d,return_5d,return_20d,volume_ratio_20d,price_vs_sma20,sma20_vs_sma50,distance_from_20d_high,rsi_14,price_as_of,price_momentum_score,market_cap,news_signal,news_count,headlines,news_urls,latest_news_utc,news_score,combined_score,signal,research_status,scan_status,history_coverage_ratio
1,ODD,ODDITY Tech Ltd. - Class A Ordinary Shares,NASDAQ,18.280000686645508,0.141786,0.293701,0.371343,2.319237,0.293084,-0.059049,0.0,73.57876,2026-09-11,79.463859,843156878.7912178,0.2,5,"Odds of a Fed Rate Hike Next Week Surge | Bank ETFs in Spotlight as Next Week's Fed Rate Hike Odds Hit 70% | With Just 5 Days to Next FOMC Meeting, Odds of Fed Rate Hike Surge to Over 85%",https://finance.yahoo.com/m/37f26b2f-354c-3330-83e6-88667c0530b2/odds-of-a-fed-rate-hike-next.html | https://finance.yahoo.com/markets/stocks/articles/bank-etfs-spotlight-next-weeks-182000376.html | https://finance.yahoo.com/m/187834d5-0d2f-342c-bb51-847b3a70e282/with-just-5-days-to-next-fomc.html,2026-09-11T22:38:41+00:00,54.0,75.64428,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.999630450849963
2,ACVA,ACV Auctions Inc. Class A Common Stock,NYSE,10.40999984741211,0.441828,0.553731,0.307789,11.952976,0.3991,-0.007272,0.0,80.284556,2026-09-11,79.675492,1767701045.8893585,0.1,5,"CPRT Stock Upgraded, ACVA Downgraded By Barrington After $1.9B Deal – Analyst Sees Acquisition As A Long-Term Growth Catalyst | Top Midday Gainers | Update: Wall Street Rises at End of Losing Week Amid Inflation Worries",https://finance.yahoo.com/m/c7f8d031-e3de-3ce3-b3fd-5ab4a61595b2/cprt-stock-upgraded%2C-acva.html | https://finance.yahoo.com/markets/stocks/articles/top-midday-gainers-182559417.html | https://finance.yahoo.com/markets/stocks/articles/wall-street-rises-end-losing-205314084.html,2026-09-11T20:53:14+00:00,52.0,75.524168,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.999630450849963
3,INSP,"Inspire Medical Systems, Inc. Common Stock",NYSE,73.0,0.071638,0.174767,0.254296,2.390453,0.171599,0.097142,0.0,74.336677,2026-09-11,79.487779,2110457375.0,0.1,5,"3 Medical Info Systems Stocks to Gain From GenAI Boom Amid Cyber Risk | La Beauté by Sara Announces Founder Sara O Sullivan as Host of Its First Singapore Fashion Show | Inspire Medical Systems (INSP): Buy, Sell, or Hold Post Q2 Earnings?",https://finance.yahoo.com/healthcare/articles/3-medical-systems-stocks-gain-141600289.html | https://finance.yahoo.com/media-advertising/articles/la-beaut-sara-announces-founder-062000214.html | https://finance.yahoo.com/markets/stocks/articles/inspire-medical-systems-insp-buy-185410112.html,2026-09-11T14:16:00+00:00,52.0,75.364612,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.999630450849963
4,JILL,"J. Jill, Inc. Common Stock",NYSE,24.079999923706055,0.057532,0.242518,0.2734,3.450825,0.192847,0.092571,0.0,80.093327,2026-09-11,79.669457,357900485.02604485,0.0,5,"J.Jill Insider Sold Shares Worth $297,298, According to a Recent SEC Filing | A Nation Remembers: 25 Years After 9/11, U.S. Mourns a Growing Number of Victims | Executive Trims Holdings of Iconic Food Stock, Sells Nearly 1,500 Shares",https://finance.yahoo.com/markets/stocks/articles/j-jill-insider-sold-shares-202242921.html | https://finance.yahoo.com/m/412518a9-7efd-39ba-8728-bed48bd10ad8/a-nation-remembers%3A-25-years.html | https://finance.yahoo.com/m/fe91de24-4509-3146-a655-4056ef1fb160/executive-trims-holdings-of.html,2026-09-11T21:06:00+00:00,50.0,75.219038,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.999630450849963
5,QRVO,"Qorvo, Inc. - Common Stock",NASDAQ,116.6500015258789,0.038181,0.162084,0.184986,2.012542,0.17299,0.063047,0.0,89.157081,2026-09-11,79.469269,10291053624.065529,0.0,5,"Skyworks Rises 7%, Qorvo Gains 5% as CEO Says $22B Merger Is in Final Stages; Qualcomm Ticks Up | Apple Advances 3% as First Foldable iPhone Arrives at Its Highest Price Ever; Skyworks Rallies 9%, Alphabet Ticks Up | Strength Seen in Skyworks (SWKS): Can Its 9.8% Jump Turn into More Strength?",https://finance.yahoo.com/m/a9b527c8-cb25-3c01-8f4a-54a1d08c462a/skyworks-rises-7%25%2C-qorvo.html | https://finance.yahoo.com/m/1f88752a-6be1-35a5-b1aa-8744d9a4f750/apple-advances-3%25-as-first.html | https://finance.yahoo.com/markets/stocks/articles/strength-seen-skyworks-swks-9-140900355.html,2026-09-11T18:56:00+00:00,50.0,75.048879,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.999630450849963
6,TEN,Tsakos Energy Navigation Ltd Common Shares,NYSE,47.900001525878906,0.071349,0.106747,0.173732,3.398524,0.115289,0.064406,0.0,74.050056,2026-09-11,79.350476,1443112229.671074,0.0,5,"SCHD’s 3% Yield Hides a $216,000 Decade-Long Performance Gap Investors Miss | Ripple’s David Schwartz Says XRP Can Flip Bitcoin. Here’s the $24.50 Math | What Is the Best Crypto to Buy Right Now: XRP or Bitcoin?",https://finance.yahoo.com/m/40f4e3bf-9f7e-3642-92f0-438a9539eed1/schd%E2%80%99s-3%25-yield-hides-a.html | https://finance.yahoo.com/m/fa4a0f8d-1b3d-3625-a18e-2df62cc70e3c/ripple%E2%80%99s-david-schwartz-says.html | https://finance.yahoo.com/m/610cb229-863c-30d8-b6b8-d5ea5cfd0bd7/what-is-the-best-crypto-to.html,2026-09-11T22:43:26+00:00,50.0,74.947904,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.999630450849963
7,FEIM,"Frequency Electronics, Inc. - Common Stock",NASDAQ,88.375,0.424025,0.475622,0.131852,5.378996,0.351181,-0.010352,0.0,76.908343,2026-09-11,78.236895,968327879.75,0.3,5,"Frequency Electronics Inc (FEIM) (Q1 2027) Earnings Call Highlights: Record Revenue, Surging ... | Frequency Electronics (FEIM) Q1 2027 Earnings Call Transcript | Frequency Electronics Q1 Revenue Rises 70% to Record $23.5 Million",https://finance.yahoo.com/markets/stocks/articles/frequency-electronics-inc-feim-q1-050108782.html | https://finance.yahoo.com/m/6286657c-76b1-3fd9-8e12-2b68f5604001/frequency-electronics-%28feim%29.html | https://finance.yahoo.com/m/b842a501-68af-30b2-9ee9-85253fd298e9/frequency-electronics-q1.html,2026-09-11T18:55:25+00:00,56.0,74.901361,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.999630450849963
8,SWKS,"Skyworks Solutions, Inc. - Common Stock",NASDAQ,88.3499984741211,0.05141,0.235664,0.266485,1.766119,0.24737,0.073593,0.0,88.465722,2026-09-11,79.239829,13294270060.096756,0.0,5,"Strength Seen in Skyworks (SWKS): Can Its 9.8% Jump Turn into More Strength? | Skyworks (SWKS) Rockets 9.8% on Looming $22B Qorvo Merger Nod | Skyworks Solutions Sees Qorvo Deal Closing This Year, Targets $500M in Synergies",https://finance.yahoo.com/markets/stocks/articles/strength-seen-skyworks-swks-9-140900355.html | https://finance.yahoo.com/markets/stocks/articles/skyworks-swks-rockets-9-8-014200183.html | https://finance.yahoo.com/m/1a5d45e1-b088-3bc3-bb20-0275491debbb/skyworks-solutions-sees-qorvo.html,2026-09-11T15:37:41+00:00,50.0,74.853854,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.999630450849963
9,MNTK,"Montauk Renewables, Inc. - Common Stock",NASDAQ,2.640000104904175,0.035294,0.173333,0.404255,1.671859,0.301775,0.10044,0.0,80.645168,2026-09-11,77.556919,375780621.8921797,0.1,5,"Montauk Renewables, Inc. (MNTK) Hit a 52 Week High, Can the Run Continue? | Surging Earnings Estimates Signal Upside for Montauk Renewables (MNTK) Stock | New Strong Buy Stocks for September 3rd",https://finance.yahoo.com/markets/stocks/articles/montauk-renewables-inc-mntk-hit-131501648.html | https://finance.yahoo.com/markets/stocks/articles/surging-earnings-estimates-signal-upside-162001328.html | https://finance.yahoo.com/markets/stocks/articles/strong-buy-stocks-september-3rd-110300463.html,2026-09-10T13:15:01+00:00,52.0,73.723382,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.999630450849963
10,DELL,Dell Technologies Inc. Class C Common Stock ,NYSE,567.2899780273438,0.119754,0.098569,0.147176,1.627704,0.183399,0.068285,0.0,71.238592,2026-09-11,77.227153,360690200977.005,0.0,5,"Dell and HPE Stocks Are Surging on the AI Spending Boom | Dell Results Should Sustain Above Long-Term Targets on AI Infrastructure Demand, RBC Says | Dell Technologies Positioned to Benefit From AI Infrastructure Spending Cycle, RBC Says",https://finance.yahoo.com/m/55fd85e8-3145-3813-ba5c-55cdb122bc60/dell-and-hpe-stocks-are.html | https://finance.yahoo.com/technology/articles/dell-results-sustain-above-long-144509804.html | https://finance.yahoo.com/technology/ai/articles/dell-technologies-positioned-benefit-ai-144805050.html,2026-09-11T18:00:00+00:00,50.0,73.14308,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.999630450849963
