rank,symbol,name,exchange,price,return_1d,return_5d,return_20d,volume_ratio_20d,price_vs_sma20,sma20_vs_sma50,distance_from_20d_high,rsi_14,price_as_of,price_momentum_score,market_cap,news_signal,news_count,headlines,news_urls,latest_news_utc,news_score,combined_score,signal,research_status,scan_status,history_coverage_ratio
1,PPHC,"Public Policy Holding Company, Inc. - Common Stock",NASDAQ,13.109999656677246,0.041303,0.140992,0.296736,10.268489,0.153592,0.079865,0.0,73.522983,2026-09-18,79.454074,396138737.2559767,0.2,5,"Public Policy Holding Company, Inc. (PPHC) Upgraded to Buy: What Does It Mean for the Stock? | PPHC Increases 2026 Interim Dividend to $0.117 Per Share | PPHC Q2 2026 Earnings Call Transcript",https://finance.yahoo.com/markets/stocks/articles/public-policy-holding-company-inc-160005141.html | https://finance.yahoo.com/markets/stocks/articles/pphc-increases-2026-interim-dividend-110000390.html | https://finance.yahoo.com/markets/stocks/articles/pphc-q2-2026-earnings-call-011340540.html,2026-09-16T16:00:05+00:00,54.0,75.635963,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.999815668202765
2,SECZ,Securitize Corp. Common Stock,NYSE,10.859999656677246,0.216125,0.31318,0.696875,7.485407,0.453426,0.034903,0.0,83.751837,2026-09-18,79.756955,1773065283.0471754,0.1,5,"SEC Sends Strong Signal to Robinhood, Coinbase Investors | Crypto Ruling Triggers Best Day for This Digital Asset Stock | Securitize Surges After SEC Clears Path for Tokenized Stock Trading",https://finance.yahoo.com/markets/crypto/articles/sec-sends-strong-signal-robinhood-191533748.html | https://finance.yahoo.com/m/f39bcdb6-de8b-3f63-bd01-88303ec66c4a/crypto-ruling-triggers-best.html | https://finance.yahoo.com/m/7cb8bc5a-18f6-3d64-9e8b-c6a549a6a774/securitize-surges-after-sec.html,2026-09-17T19:15:33+00:00,52.0,75.593412,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.999815668202765
3,BRR,"ProCap Financial, Inc. - Common Stock",NASDAQ,3.759999990463257,0.093023,0.205128,0.678571,6.155425,0.407186,0.232245,0.0,88.888888,2026-09-18,79.909066,332269601.15724206,0.0,4,"ProCap Financial to Join Russell 2000® and Russell 3000® Indexes | ProCap Financial Doubles Down on AI; Plans to Change Corporate Name to Silvia, Inc. and Begin Trading Under Ticker ""SVIA"" | ProCap Financial Repurchases More Than 2% of Shares Outstanding at an Approximate 40% Discount to NAV",https://finance.yahoo.com/markets/stocks/articles/procap-financial-join-russell-2000-110000601.html | https://finance.yahoo.com/technology/ai/articles/procap-financial-doubles-down-ai-110000750.html | https://finance.yahoo.com/markets/stocks/articles/procap-financial-repurchases-more-2-110000463.html,2026-09-18T11:00:00+00:00,50.0,75.422706,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.999815668202765
4,TTRX,Turn Therapeutics Inc. - Common Stock,NASDAQ,14.9399995803833,0.081042,0.177305,0.566038,6.212362,0.30321,0.12434,0.0,79.859488,2026-09-18,79.641701,453693485.0172043,0.0,5,"Turn Therapeutics to Present at Stifel 2026 Virtual Immunology and Inflammation Forum | Turn Therapeutics Appoints Former CDC Director Robert R. Redfield, M.D., as Chief Scientific Officer | NovaBridge Appoints Martin Dewhurst to Board of Directors as an Independent Director",https://finance.yahoo.com/healthcare/articles/turn-therapeutics-present-stifel-2026-120000221.html | https://finance.yahoo.com/healthcare/articles/turn-therapeutics-appoints-former-cdc-120000043.html | https://finance.yahoo.com/healthcare/articles/novabridge-appoints-martin-dewhurst-board-110000293.html,2026-09-10T12:00:00+00:00,50.0,75.195446,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.999815668202765
5,FAC,Factorial Energy Inc. - Class A Common Stock,NASDAQ,6.25,0.106195,0.177024,0.355748,6.151198,0.210185,-0.04865,0.0,69.705887,2026-09-18,79.341047,668895281.25,0.0,5,"Update: Factorial Energy Shares Rise After Signing Battery Industrialization Deal With Mitsui Kinzoku | Factorial Energy, Mitsui Kinzoku Sign Agreement to Industrialize All-Solid-State Solstice Batteries | Mitsui Kinzoku Partners with Factorial to Scale All-Solid-State Battery Manufacturing",https://finance.yahoo.com/markets/stocks/articles/factorial-energy-shares-rise-signing-190114366.html | https://finance.yahoo.com/technology/articles/factorial-energy-mitsui-kinzoku-sign-114604160.html | https://finance.yahoo.com/technology/articles/mitsui-kinzoku-partners-factorial-scale-110000998.html,2026-09-17T19:01:14+00:00,50.0,74.93989,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.999815668202765
6,FRNM,"Freenome, Inc. - Common stock",NASDAQ,17.110000610351562,0.050338,0.190675,0.266469,5.871534,0.13225,0.156481,0.0,64.463845,2026-09-18,79.185828,1838415053.1203308,0.0,5,"FDA Grants Breakthrough Device Designation to Freenome’s Blood-Based SimpleScreen™ Lung Cancer Screening Test | Freenome (FRNM) Climbed, But What Is Driving Attention Now? | Guardant Health, Thursday's Stock Of The Day, Spikes After Hiking 2026 Outlook",https://finance.yahoo.com/healthcare/articles/fda-grants-breakthrough-device-designation-130000745.html | https://finance.yahoo.com/healthcare/articles/freenome-frnm-climbed-driving-attention-031955592.html | https://finance.yahoo.com/m/d2456995-1052-31b8-8cd9-253a83bbc70c/guardant-health%2C-thursday%27s.html,2026-08-12T13:00:00+00:00,50.0,74.807954,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.999815668202765
7,GEMI,"Gemini Space Station, Inc. - Class A Common Stock",NASDAQ,5.809999942779541,0.311512,0.302691,0.403382,4.563296,0.280935,0.047421,0.0,67.356316,2026-09-18,78.92183,753279286.2012415,-0.1,5,Why Gemini Space Station Stock Jumped 31.2% Today | Jim Cramer on Gemini Space Station (GEMI): “I Would Keep It as Your Spec” | Gemini Space Station (GEMI) Stock Fair Value Falls As Analysts Weigh Weak Crypto Execution,https://finance.yahoo.com/markets/stocks/articles/why-gemini-space-station-stock-215405601.html | https://finance.yahoo.com/markets/crypto/articles/jim-cramer-gemini-space-station-115156897.html | https://finance.yahoo.com/markets/crypto/articles/gemini-space-station-gemi-stock-071515192.html,2026-09-18T21:54:05+00:00,48.0,74.283556,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.999815668202765
8,PS,Pershing Square Inc. Common Stock,NYSE,49.83000183105469,0.136893,0.322803,0.238628,4.277076,0.230112,0.066621,0.0,61.799141,2026-09-18,78.347096,19932000732.421875,0.0,5,"1 of Billionaire Investor Bill Ackman's Newest Positions Is Down Roughly 21% This Year. A Wall Street Analyst Thinks Another 21% Decline Is Coming. Should Investors Sell the Stock? | Bill Ackman's Pershing Square Took a New Stake in Netflix in 2026, Years After a Money-Losing Bet on the Stock. Why He Says This Time Is Different. | Bill Ackman bets AI will make this old-school business stronger",https://finance.yahoo.com/markets/stocks/articles/1-billionaire-investor-bill-ackmans-170101155.html | https://finance.yahoo.com/markets/stocks/articles/bill-ackmans-pershing-square-took-134000020.html | https://finance.yahoo.com/technology/ai/articles/bill-ackman-bets-ai-old-143700072.html,2026-09-18T17:01:01+00:00,50.0,74.095032,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.999815668202765
9,TMS,Teamshares Inc. - Common Stock,NASDAQ,8.130000114440918,0.098649,0.105371,0.118294,8.906473,0.206187,-0.015778,0.0,69.670333,2026-09-18,77.794865,585244350.858118,0.0,5,"Karma TMS Marks 20,000 TMS Treatments, Transforming Mental Health Care Across the Coachella Valley and Riverside County | Serenity Mental Health Centers Releases TMS Therapy Clinical Guidance for Veterans During National Suicide Prevention Month | Salience Health Marks 15 Years of Advancing TMS Therapy and Behavioral Healthcare",https://finance.yahoo.com/healthcare/articles/karma-tms-marks-20-000-173200788.html | https://finance.yahoo.com/healthcare/articles/serenity-mental-health-centers-releases-120000921.html | https://finance.yahoo.com/healthcare/articles/salience-health-marks-15-years-100000669.html,2026-09-15T17:32:00+00:00,50.0,73.625635,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.999815668202765
10,LUXE,"LuxExperience B.V. American Depositary Shares, each representing one Ordinary Share",NYSE,10.079999923706055,0.063291,0.364005,0.282443,2.726315,0.282932,-0.01217,0.0,76.923084,2026-09-18,76.572522,1408174285.8217487,0.3,5,Luxe (LUXE) Q4 2026 Earnings Call Transcript | LuxExperience BV (LUXE) (Q4 2026) Earnings Call Highlights: All Three Segments Return to Growth ... | LuxExperience B.V. Q4 2026 Earnings Call Summary,https://finance.yahoo.com/markets/stocks/articles/luxe-luxe-q4-2026-earnings-024301125.html | https://finance.yahoo.com/markets/stocks/articles/luxexperience-bv-luxe-q4-2026-010027254.html | https://finance.yahoo.com/markets/stocks/articles/luxexperience-b-v-q4-2026-164738799.html,2026-09-17T02:43:01+00:00,56.0,73.486644,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.999815668202765
11,ALVO,Alvotech - Ordinary Shares,NASDAQ,5.869999885559082,0.099251,0.109641,0.374707,2.618824,0.137046,0.217599,0.0,75.0,2026-09-18,76.361533,2094515972.2255306,0.3,5,Why This Biotech Stock Just Got a Rare Double Upgrade | ALVO Stock Jumps On Double Upgrade — Why Barclays Sees A 59% Upside | Alvotech Shares Rise After Double Upgrade From Barclays,https://finance.yahoo.com/m/98d41943-3ea5-3436-a9fe-dfb21872ba93/why-this-biotech-stock-just.html | https://finance.yahoo.com/markets/stocks/articles/alvo-stock-jumps-double-upgrade-183320223.html | https://finance.yahoo.com/markets/stocks/articles/alvotech-shares-rise-double-upgrade-181150364.html,2026-09-16T20:25:00+00:00,56.0,73.307303,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.999815668202765
12,FISN,"Deep Fission, Inc. - Common Stock",NASDAQ,8.470000267028809,0.043103,0.182961,0.09009,5.069519,0.184533,-0.168063,0.0,75.603215,2026-09-18,77.114961,511023160.28073215,0.0,5,"Deep Fission Publishes DOE-Approved Nuclear Safety Design Agreement for Gravity™ Pilot Reactor, Demonstrating Commitment to Transparency | Deep Fission Installs, Retrieves Full-Scale Reactor Canister Using Standard Drilling Equipment | Deep Fission Installs and Retrieves Full-Scale Reactor Canister Using Off-the-Shelf Drilling Equipment",https://finance.yahoo.com/energy/articles/deep-fission-publishes-doe-approved-113000966.html | https://finance.yahoo.com/technology/articles/deep-fission-installs-retrieves-full-131353827.html | https://finance.yahoo.com/energy/articles/deep-fission-installs-retrieves-full-113000545.html,2026-09-15T11:30:00+00:00,50.0,73.047717,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.999815668202765
13,GYRE,"Gyre Therapeutics, Inc. - Common Stock",NASDAQ,7.550000190734863,0.051532,0.121843,0.075499,8.93143,0.118104,0.038239,0.0,70.168067,2026-09-18,76.511387,800554930.8743353,0.125,4,"Gyre Therapeutics to Participate in Upcoming September Investor Conferences | Gyre Therapeutics, Inc. (GYRE) Reports Q2 Loss, Beats Revenue Estimates | Gyre Therapeutics Reports Second Quarter 2026 and Year-to-Date Financial Results and Provides Business Update",https://finance.yahoo.com/healthcare/articles/gyre-therapeutics-participate-upcoming-september-110000790.html | https://finance.yahoo.com/healthcare/articles/gyre-therapeutics-inc-gyre-reports-122002916.html | https://finance.yahoo.com/healthcare/articles/gyre-therapeutics-reports-second-quarter-110000213.html,2026-09-03T11:00:00+00:00,52.5,72.909679,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.999815668202765
14,MTC,"MMTec, Inc. - Common Shares",NASDAQ,6.889999866485596,0.050305,0.453587,1.259016,2.584375,0.545363,0.236446,0.0,87.081344,2026-09-18,76.669898,686160004.4935927,0.0,2,Admission to Trading | Full Year Results 2026,https://finance.yahoo.com/markets/stocks/articles/admission-trading-070500106.html | https://finance.yahoo.com/markets/stocks/articles/full-results-2026-083600590.html,2026-09-03T07:05:00+00:00,50.0,72.669414,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.999815668202765
15,FWDI,"Forward Industries, Inc. - Common Stock",NASDAQ,7.699999809265137,0.241935,0.175572,0.533865,2.574768,0.216814,0.244836,0.0,66.484519,2026-09-18,76.046247,568620985.0148249,0.1,5,"Forward Industries Sweetens SkyAI Takeover Offer to 50% Premium | Forward Industries Makes Updated Non-Binding Proposal to Acquire SkyAI | XYZ Stock Upgraded To ‘Buy,’ Cantor Raises Targets On Crypto Plays, Sees Bear-Market Bottom",https://finance.yahoo.com/markets/stocks/articles/forward-industries-sweetens-skyai-takeover-163100379.html | https://finance.yahoo.com/markets/stocks/articles/forward-industries-makes-updated-non-140337807.html | https://finance.yahoo.com/markets/crypto/articles/xyz-stock-upgraded-buy-cantor-153811381.html,2026-09-15T16:31:00+00:00,52.0,72.43931,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.999815668202765
