rank,symbol,name,exchange,price,return_1d,return_5d,return_20d,volume_ratio_20d,price_vs_sma20,sma20_vs_sma50,distance_from_20d_high,rsi_14,price_as_of,price_momentum_score,market_cap,news_signal,news_count,headlines,news_urls,latest_news_utc,news_score,combined_score,signal,research_status,scan_status,history_coverage_ratio
1,MNTK,"Montauk Renewables, Inc. - Common Stock",NASDAQ,2.5,0.121076,0.453488,0.461988,3.040422,0.300052,0.077371,0.0,78.448281,2026-09-08,79.599413,355852847.5,0.1,5,Surging Earnings Estimates Signal Upside for Montauk Renewables (MNTK) Stock | New Strong Buy Stocks for September 3rd | Should Value Investors Buy Montauk Renewables (MNTK) Stock?,https://finance.yahoo.com/markets/stocks/articles/surging-earnings-estimates-signal-upside-162001328.html | https://finance.yahoo.com/markets/stocks/articles/strong-buy-stocks-september-3rd-110300463.html | https://finance.yahoo.com/markets/stocks/articles/value-investors-buy-montauk-renewables-134003898.html,2026-09-03T16:20:01+00:00,52.0,75.459501,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998150545589051
2,TTRX,Turn Therapeutics Inc. - Common Stock,NASDAQ,12.65999984741211,0.291837,0.31875,0.31875,4.639666,0.269046,0.074583,0.0,73.057015,2026-09-08,79.41256,384455128.0062561,0.1,5,NovaBridge Appoints Martin Dewhurst to Board of Directors as an Independent Director | Turn Therapeutics Announces New Peer-Reviewed Research Showing GX-03 Selectively Reduces Key Drivers of Skin Inflammation and Itch | Turn Therapeutics Provides Corporate Updates and Reports Second Quarter 2026 Financial Results,https://finance.yahoo.com/healthcare/articles/novabridge-appoints-martin-dewhurst-board-110000293.html | https://finance.yahoo.com/healthcare/articles/turn-therapeutics-announces-peer-reviewed-120000452.html | https://finance.yahoo.com/healthcare/articles/turn-therapeutics-provides-corporate-updates-203000334.html,2026-09-08T11:00:00+00:00,52.0,75.300676,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998150545589051
3,BE,Bloom Energy Corporation Class A Common Stock,NYSE,277.2200012207031,0.096295,0.343771,0.316147,2.125525,0.249473,-0.022525,0.0,81.829212,2026-09-08,79.716591,81648871217.65045,0.0,5,"Dow Jones Futures: Dow Skids But AMD, HPE Are New Buys; Apple iPhone Event Due | Stocks to Watch Recap: Intel, Amgen, Qualcomm, Rigetti | AMD, Amgen, Novartis, Qualcomn, Corning, and More Stocks That Explain Today’s Market",https://finance.yahoo.com/m/61edb329-2f31-3e10-8832-6860b7819ab2/dow-jones-futures%3A-dow-skids.html | https://finance.yahoo.com/m/6dd24a9c-dad3-3a00-a143-e1fd767d50b3/stocks-to-watch-recap%3A-intel%2C.html | https://finance.yahoo.com/m/5b112dff-b85f-35e5-a3f5-79ce6f8a8bba/amd%2C-amgen%2C-novartis%2C.html,2026-09-08T22:26:10+00:00,50.0,75.259102,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998150545589051
4,MTC,"MMTec, Inc. - Common Shares",NASDAQ,4.670000076293945,0.071101,0.128019,0.577703,2.756803,0.317906,0.12168,0.0,79.104485,2026-09-08,79.622156,465075084.967947,0.0,5,"Mitchell Tech's Christensen, cancer survivor, launches MTC Cancer Fund | Fibocom Launches RU311 5G RedCap Module Series for Streamlined 5G Upgrades in Mid-Tier IoT | New Phase 3b data on Lilly's Taltz (ixekizumab) and Zepbound (tirzepatide) used together showed improved and durable efficacy at one year in adults with psoriatic disease and obesity",https://finance.yahoo.com/m/65aeb48b-ec0a-3a70-8924-ef19c617085f/mitchell-tech%27s-christensen%2C.html | https://finance.yahoo.com/technology/articles/fibocom-launches-ru311-5g-redcap-073700855.html | https://finance.yahoo.com/healthcare/articles/phase-3b-data-lillys-taltz-110000099.html,2026-09-05T23:49:00+00:00,50.0,75.178833,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998150545589051
5,UROY,Uranium Royalty Corp. - Common Stock,NASDAQ,4.820000171661377,0.085586,0.144893,0.16707,2.586282,0.129665,0.210014,0.0,73.780482,2026-09-08,78.91074,1836744538.1745405,0.2,5,"Take the Zacks Approach to Beat the Markets: Oportun Financial, Uranium Royalty & Amgen in Focus | What Makes Uranium Royalty (UROY) a New Strong Buy Stock | Uranium Royalty (UROY)'s Sweetwater Transaction Has Reshaped Its Investment Case",https://finance.yahoo.com/markets/stocks/articles/zacks-approach-beat-markets-oportun-123300876.html | https://finance.yahoo.com/markets/stocks/articles/makes-uranium-royalty-uroy-strong-160003061.html | https://finance.yahoo.com/markets/stocks/articles/uranium-royalty-uroy-22-1-071253062.html,2026-09-08T12:33:00+00:00,54.0,75.174129,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998150545589051
6,NUAI,"New Era Energy & Digital, Inc. - Common Stock",NASDAQ,6.599999904632568,0.219963,0.390938,0.226766,2.477907,0.270819,0.036068,0.0,67.583726,2026-09-08,79.222865,703291627.2377095,0.0,5,"New Era Energy & Digital Q2 Earnings Call Highlights | New Era Energy & Digital, Inc. (NUAI) Reports Q2 Loss, Misses Revenue Estimates | New Era secures key permits for Texas Critical Data Centers, sees capacity rising",https://finance.yahoo.com/m/319ee02b-0baf-32f2-8061-e23c5ab86dd7/new-era-energy-%26-digital-q2.html | https://finance.yahoo.com/markets/stocks/articles/era-energy-digital-inc-nuai-225001614.html | https://finance.yahoo.com/m/33b57edd-5c28-3cca-aeac-d51358f01e50/new-era-secures-key-permits.html,2026-08-17T22:02:37+00:00,50.0,74.839435,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998150545589051
7,ATRC,"AtriCure, Inc. - Common Stock",NASDAQ,53.72999954223633,0.042896,0.111272,0.290346,2.370571,0.118885,0.184604,0.0,77.654404,2026-09-08,78.749058,2733045953.3352585,0.1,5,"A2RL Sets New International Benchmark with Europe’s First Five-Car Autonomous Race | Bloom Energy, Illumina, and Everpure Set to Join S&P 500; Others to Join S&P 100, S&P MidCap 400, and S&P SmallCap 600 | Atricure Insider Sold Shares Worth $407,558, According to a Recent SEC Filing",https://finance.yahoo.com/technology/ai/articles/a2rl-sets-international-benchmark-europe-121600634.html | https://finance.yahoo.com/markets/stocks/articles/bloom-energy-illumina-everpure-set-231500760.html | https://finance.yahoo.com/markets/stocks/articles/atricure-insider-sold-shares-worth-114304419.html,2026-09-07T12:16:00+00:00,52.0,74.736699,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998150545589051
8,BUUU,BUUU Group Limited - Class A Ordinary Share,NASDAQ,37.95000076293945,0.096821,0.238577,0.367814,1.823236,0.256165,0.195092,0.0,67.538044,2026-09-08,78.133544,633575262.7372742,0.25,2,"BUUU to Buy 60% of Brightray Science, Lines Up $60 Million in Private Placements | BUUU Group Limited Signs Definitive Agreement to Acquire Majority Stake in Brightray Science Inc. and Over US$60 Million of Private Placements, Making Industrialized AI Data Center Delivery Its Core Growth Business",https://finance.yahoo.com/markets/stocks/articles/buuu-buy-60-brightray-science-142520085.html | https://finance.yahoo.com/technology/ai/articles/buuu-group-limited-signs-definitive-131900541.html,2026-09-03T14:25:20+00:00,55.0,74.663512,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998150545589051
9,IOND,Ionic Digital Inc. - Class A Common Stock,NASDAQ,81.95999908447266,0.076014,0.141186,0.379798,1.822744,0.174633,,0.0,95.824092,2026-09-08,78.910375,3687886461.8047714,0.0,5,Jefferies Initiates Ionic Digital at Buy With $85 Price Target | Is Ionic Digital (IOND) Fully Priced After Its Revenue Reported A Premium Valuation? | Ionic Digital Announces Second Quarter 2026 Results,https://finance.yahoo.com/markets/stocks/articles/jefferies-initiates-ionic-digital-buy-112646390.html | https://finance.yahoo.com/markets/stocks/articles/ionic-digital-iond-fully-priced-032312153.html | https://finance.yahoo.com/technology/ai/articles/ionic-digital-announces-second-quarter-201500378.html,2026-08-24T11:26:46+00:00,50.0,74.573819,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998150545589051
10,YDES,YD Bio Limited - Ordinary Shares,NASDAQ,4.25,0.200565,0.145553,0.696607,2.454239,0.10145,0.335471,-0.114583,52.817195,2026-09-08,78.71108,301033220.5,0.0,5,"YD Bio Limited Reports Unaudited Financial Results for the Six Months Ended June 30, 2026 | YD Bio Announces Peer-Reviewed Publication in Nutrients, Co-Authored with Physicians from the Taiwan Chronic Disease Healthcare Association and the Future Health Institute | YD Bio Launches a Physician-Partnership Initiative in Taiwan with the Announcement of Two Nutraceutical Products in Collaboration with the Taiwan Chronic Disease Healthcare Association and the Future Health Institute",https://finance.yahoo.com/healthcare/articles/yd-bio-limited-reports-unaudited-220000413.html | https://finance.yahoo.com/healthcare/articles/yd-bio-announces-peer-reviewed-120000604.html | https://finance.yahoo.com/healthcare/articles/yd-bio-launches-physician-partnership-120000885.html,2026-08-31T22:00:00+00:00,50.0,74.404418,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998150545589051
