rank,symbol,name,exchange,price,return_1d,return_5d,return_20d,volume_ratio_20d,price_vs_sma20,sma20_vs_sma50,distance_from_20d_high,rsi_14,price_as_of,price_momentum_score,market_cap,news_signal,news_count,headlines,news_urls,latest_news_utc,news_score,combined_score,signal,research_status,scan_status,history_coverage_ratio
1,LUXE,"LuxExperience B.V. American Depositary Shares, each representing one Ordinary Share",NYSE,8.8100004196167,0.232168,0.206849,0.166887,9.6132,0.149455,-0.025988,0.0,64.545464,2026-09-16,78.933579,1209274824.0772629,0.2,5,LuxExperience B.V. Q4 2026 Earnings Call Summary | LuxExperience B.V. - Sponsored ADR (LUXE) Q4 Earnings and Revenues Top Estimates | Q4 FY26 and Full FY26 Results: LuxExperience with strong +7.6% Net Sales growth ex-FX and improved Adjusted EBITDA profitability in Q4 FY26 now set for accelerated Top- and Bottom-Line growth in FY27,https://finance.yahoo.com/markets/stocks/articles/luxexperience-b-v-q4-2026-164738799.html | https://finance.yahoo.com/markets/stocks/articles/luxexperience-b-v-sponsored-adr-111501237.html | https://finance.yahoo.com/markets/stocks/articles/q4-fy26-full-fy26-results-100000344.html,2026-09-16T16:47:38+00:00,54.0,75.193542,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998155321896329
2,GLOO,"Gloo Holdings, Inc. - Common Stock",NASDAQ,4.070000171661377,0.240854,0.292064,0.252308,10.996087,0.234643,-0.00498,0.0,69.178081,2026-09-16,79.388846,372531352.58234453,0.0,5,"Gloo (GLOO) Q2 2027 Earnings Call Transcript | Gloo Holdings, Inc. Q2 2027 Earnings Call Summary | Gloo Holdings Inc (GLOO) Q2 2026 Earnings Call Highlights: Revenue Surges 188% as Profitability ...",https://finance.yahoo.com/markets/stocks/articles/gloo-gloo-q2-2027-earnings-155825833.html | https://finance.yahoo.com/markets/stocks/articles/gloo-holdings-inc-q2-2027-123000622.html | https://finance.yahoo.com/markets/stocks/articles/gloo-holdings-inc-gloo-q2-050022971.html,2026-09-10T15:58:25+00:00,50.0,74.980519,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998155321896329
3,MTC,"MMTec, Inc. - Common Shares",NASDAQ,5.230000019073486,0.096436,0.091858,0.681672,2.087922,0.277635,0.192432,0.0,77.343758,2026-09-16,78.839934,520844253.42948675,0.0,2,Admission to Trading | Full Year Results 2026,https://finance.yahoo.com/markets/stocks/articles/admission-trading-070500106.html | https://finance.yahoo.com/markets/stocks/articles/full-results-2026-083600590.html,2026-09-03T07:05:00+00:00,50.0,74.513944,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998155321896329
4,BLSM,"BlossomHill Therapeutics, Inc. - Common Stock",NASDAQ,26.25,0.184032,0.193182,0.630435,1.997327,0.323151,,0.0,76.088415,2026-09-16,78.590827,763380450.0,0.0,5,BlossomHill Therapeutics Shares Rise 4.4% After BH-30643 Trial Update | BlossomHill Drug Shows 45% Response Rate in Lung Cancer Trial | BlossomHill Therapeutics Presents Updated Data from Ongoing Phase 1/2 SOLARA Trial Demonstrating Encouraging Anti-Tumor Activity of OMNI-EGFR™ Inhibitor BH-30643 in EGFR C797S-Positive NSCLC at IASLC 2026 World Conference on Lung Cancer,https://finance.yahoo.com/healthcare/articles/blossomhill-therapeutics-shares-rise-4-141302319.html | https://finance.yahoo.com/healthcare/articles/blossomhill-drug-shows-45-response-114203784.html | https://finance.yahoo.com/healthcare/articles/blossomhill-therapeutics-presents-updated-data-110000460.html,2026-09-15T14:13:02+00:00,50.0,74.302203,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998155321896329
5,BBNX,"Beta Bionics, Inc. - Common Stock",NASDAQ,22.18000030517578,0.153406,0.273249,0.166141,5.412512,0.16115,0.098124,0.0,62.566369,2026-09-16,78.852371,997871293.5697632,-0.3,5,"Update: Beta Bionics Shares Rise After BofA Price-Target Boost, $150 Million Offering Priced | BofA Adjusts Price Target on Beta Bionics to $20 From $18 | Beta Bionics Prices $150 Million Public Offering",https://finance.yahoo.com/markets/stocks/articles/beta-bionics-shares-rise-bofa-192506552.html | https://finance.yahoo.com/markets/stocks/articles/bofa-adjusts-price-target-beta-120922966.html | https://finance.yahoo.com/healthcare/articles/beta-bionics-prices-150-million-080558441.html,2026-09-16T19:25:06+00:00,44.0,73.624515,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998155321896329
6,SDGR,"Schrodinger, Inc. - Common Stock",NASDAQ,23.93000030517578,0.029247,0.246354,0.354273,2.261029,0.183248,0.129252,0.0,71.360157,2026-09-16,77.111137,1790098700.868866,0.1,5,"Schrodinger (SDGR) Soars 12.1%: Is Further Upside Left in the Stock? | Schrodinger Establishes Tectora Therapeutics With RA Capital, New Enterprise Associates | Schrödinger Announces Licensing and Collaboration Agreement with Tectora Therapeutics, a New Biotechnology Company It Co-founded to Advance Immunology and Inflammation Programs",https://finance.yahoo.com/markets/stocks/articles/schrodinger-sdgr-soars-12-1-105100317.html | https://finance.yahoo.com/healthcare/articles/schrodinger-establishes-tectora-therapeutics-ra-113301342.html | https://finance.yahoo.com/healthcare/articles/schr-dinger-announces-licensing-collaboration-110000373.html,2026-09-16T10:51:00+00:00,52.0,73.344466,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998155321896329
7,FRO,Frontline Plc Ordinary Shares,NYSE,53.66999816894531,0.040318,0.136835,0.233793,1.692304,0.165966,0.102902,0.0,96.914974,2026-09-16,77.397368,11948170098.665314,0.0,5,"FRO – Filing of Half Yearly Report | The Zacks Analyst Blog Highlights BWET, Frontline, International Seaways, DHT, BWET, BOAT, BDRY and SEA | Crude Enters the Week Near $100 With Hormuz Talks Set for Monday",https://finance.yahoo.com/markets/stocks/articles/fro-filing-half-yearly-report-201000384.html | https://finance.yahoo.com/markets/stocks/articles/zacks-analyst-blog-highlights-bwet-145100293.html | https://finance.yahoo.com/energy/articles/crude-enters-week-near-100-193400932.html,2026-09-16T20:10:00+00:00,50.0,73.287763,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998155321896329
8,RVTY,"Revvity, Inc. Common Stock",NYSE,145.72999572753906,0.039518,0.176665,0.281143,1.781952,0.139107,0.076363,0.0,71.240673,2026-09-16,77.041636,16261485740.98146,0.0,5,"Strength Seen in Revvity (RVTY): Can Its 9.1% Jump Turn into More Strength? | Q2 Rundown: Revvity (NYSE:RVTY) Vs Other Research Tools & Consumables Stocks | VNRX: VolitionRx Prepays Outstanding Balance on the $7,500,000 Lind Senior Secured Convertible Promissory Note Dated May 20, 2025. Review of Papers, Posters, and Videos Released in Mid-2026. Sysmex Collaboration is the 3rd Recent Agreement in the Human Space.",https://finance.yahoo.com/markets/stocks/articles/strength-seen-revvity-rvty-9-091400031.html | https://finance.yahoo.com/healthcare/articles/q2-rundown-revvity-nyse-rvty-133531218.html | https://finance.yahoo.com/healthcare/articles/vnrx-volitionrx-prepays-outstanding-balance-161700677.html,2026-09-16T09:14:00+00:00,50.0,72.985391,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998155321896329
9,ADPT,Adaptive Biotechnologies Corporation - Common Stock,NASDAQ,27.670000076293945,0.037106,0.133088,0.126629,2.618756,0.094541,0.053562,0.0,60.926199,2026-09-16,76.570522,4416016960.316196,0.0,5,Adaptive Biotechnologies to Participate in the Morgan Stanley 24th Annual Global Healthcare Conference | What Is Really Moving Tempus AI Stock Right Now? | Adaptive Biotechnologies Stock Has Doubled in the Past Year. Here’s What Could Come Next.,https://finance.yahoo.com/healthcare/articles/adaptive-biotechnologies-participate-morgan-stanley-200500093.html | https://finance.yahoo.com/markets/stocks/articles/really-moving-tempus-ai-stock-182325265.html | https://finance.yahoo.com/markets/stocks/articles/adaptive-biotechnologies-stock-doubled-past-145502904.html,2026-09-01T20:05:00+00:00,50.0,72.584944,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998155321896329
10,IOVA,"Iovance Biotherapeutics, Inc. - Common Stock",NASDAQ,9.869999885559082,0.054487,0.170818,0.403983,1.314198,0.154116,0.304335,0.0,74.930367,2026-09-16,76.104387,4470827982.0015335,0.1,5,"IOVA Flags Year-End Data Slate After Record Amtagvi Quarter, Highlights ‘Clear Line Of Sight To Profitability’ | CLLS Stock Heads For 14-Month Low After 40% Rout: Citizens Flags Delayed Cellectis Catalysts After Cancer Pipeline Pivot | SLS, IBRX, IOVA In Focus Amid Big Pharma’s Early Cancer-Asset Hunt: J&J Flags M&A ‘Sweet Spot,’ Pfizer Eyes Phase 1-2 Deals",https://finance.yahoo.com/healthcare/articles/iova-flags-end-data-slate-230127909.html | https://finance.yahoo.com/healthcare/articles/clls-stock-heads-14-month-111144679.html | https://finance.yahoo.com/healthcare/articles/sls-ibrx-iova-focus-amid-040047202.html,2026-09-15T23:01:27+00:00,52.0,72.488729,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998155321896329
