rank,symbol,name,exchange,price,return_1d,return_5d,return_20d,volume_ratio_20d,price_vs_sma20,sma20_vs_sma50,distance_from_20d_high,rsi_14,price_as_of,price_momentum_score,market_cap,news_signal,news_count,headlines,news_urls,latest_news_utc,news_score,combined_score,signal,research_status,scan_status,history_coverage_ratio
1,CNXC,Concentrix Corporation - Common Stock,NASDAQ,32.279998779296875,0.072425,0.240107,0.293787,1.984115,0.23378,0.062448,0.0,75.210403,2026-09-01,79.345409,1969672263.5147095,0.0,5,Concentrix (CNXC): Can AI Turnaround This Cheap Customer Experience Stock? | A Look Back at Business Process Outsourcing & Consulting Stocks’ Q2 Earnings: Aramark (NYSE:ARMK) Vs The Rest Of The Pack | 3 Unprofitable Stocks with Questionable Fundamentals,https://finance.yahoo.com/markets/stocks/articles/concentrix-cnxc-ai-turnaround-cheap-171001758.html | https://finance.yahoo.com/markets/stocks/articles/look-back-business-process-outsourcing-000107518.html | https://finance.yahoo.com/markets/stocks/articles/3-unprofitable-stocks-questionable-fundamentals-111044571.html,2026-09-01T17:10:01+00:00,50.0,74.943598,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9992611747321758
2,MMED,"MiniMed Group, Inc. - Common Stock",NASDAQ,22.420000076293945,0.106614,0.124373,0.173822,4.070439,0.132323,0.131855,0.0,65.137616,2026-09-01,77.069119,6307865474.485296,0.4,5,"Minimed Group Inc (MMED) (Q1 2027) Earnings Call Highlights: Strong Revenue Growth and Raised ... | Top Midday Gainers | MiniMed Breaks Even in Fiscal Q1, Sales Rise",https://finance.yahoo.com/healthcare/articles/minimed-group-inc-mmed-q1-210034369.html | https://finance.yahoo.com/markets/stocks/articles/top-midday-gainers-173212520.html | https://finance.yahoo.com/healthcare/articles/minimed-breaks-even-fiscal-q1-112037077.html,2026-09-01T21:00:34+00:00,58.0,74.208751,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9992611747321758
3,TAP.A,Molson Coors Beverage Company Class A Common Stock,NYSE,47.959999084472656,0.089505,0.160991,0.176771,3.2,0.137813,-0.019305,0.0,100.0,2026-08-31,78.076275,8942330626.68,0.1,5,Google Just Locked Up the Largest Geothermal Power Deal Ever Made. | Cotopaxi repays workers at Taiwan mills for predatory recruitment fees | Suffolk wins $278M California university dental school project,https://finance.yahoo.com/m/3f1b0662-d369-3179-a1a6-c30ce1a586b0/google-just-locked-up-the.html | https://finance.yahoo.com/m/f2e08b71-7437-3f0b-b546-21e6d54915b9/cotopaxi-repays-workers-at.html | https://finance.yahoo.com/m/a51a69ac-b822-3cbb-af07-7e69fd7f3d72/suffolk-wins-%24278m-california.html,2026-09-01T18:32:01+00:00,52.0,74.164834,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9992611747321758
4,NVAX,"Novavax, Inc. - Common Stock",NASDAQ,10.119999885559082,0.080043,0.072034,0.321149,1.976901,0.184734,0.006243,0.0,75.116287,2026-09-01,78.022886,1669250728.2434597,0.1,5,Novavax Jumps 6% on Matrix-M Oncology Speculation: Is the Royalty Model the Real Story? | Novavax (NVDA) Following Updated Nuvaxovid Approval Faces A Wide Fair Value Debate | How Expanded Nuvaxovid Royalties and Partner-led Execution Could Shape Novavax’s (NVAX) Investment Narrative,https://finance.yahoo.com/m/c604b597-c995-35d0-9dad-7a592d7852d0/novavax-jumps-6%25-on-matrix-m.html | https://finance.yahoo.com/healthcare/articles/novavax-nvda-following-updated-nuvaxovid-170451700.html | https://finance.yahoo.com/healthcare/articles/expanded-nuvaxovid-royalties-partner-led-190520474.html,2026-09-01T17:12:13+00:00,52.0,74.119453,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9992611747321758
5,FRNM,"Freenome, Inc. - Common stock",NASDAQ,15.25,0.031102,0.106676,0.385104,2.176045,0.193925,0.075386,0.0,83.505152,2026-09-01,77.91553,1638563913.5,0.1,5,Cathie Wood sells $4 million of surging AI stock | Cathie Wood buys $28.1 million of popular tech stock | Jefferies sets strong price target on upstart cancer stock,https://finance.yahoo.com/m/a2f6d34a-4d22-3b75-8a6a-53c0a7c16344/cathie-wood-sells-%244-million.html | https://finance.yahoo.com/m/5d271d65-4cfc-37e7-ac34-db52d3ce9eba/cathie-wood-buys-%2428.1.html | https://finance.yahoo.com/m/ef0e76bb-21a4-3ca8-8c4f-8ad8f70d66ce/jefferies-sets-strong-price.html,2026-08-27T16:39:01+00:00,52.0,74.028201,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9992611747321758
6,STDN,"Standard Nuclear, Inc. Class A Common Stock",NYSE,16.559999465942383,0.027933,0.386935,1.15625,2.962596,0.361059,,0.0,70.550454,2026-09-01,77.077671,2660753769.711071,0.2,5,"UBS Adjusts Standard Nuclear Price Target to $20 From $14, Maintains Buy Rating | This Nuclear IPO Stock Just Landed a Multiyear Fuel Deal. Is it a Buy? | What Does Standard Nuclear (STDN) Gain From A TRISO Fuel Deal Through 2035?",https://finance.yahoo.com/markets/stocks/articles/ubs-adjusts-standard-nuclear-price-121933506.html | https://finance.yahoo.com/m/d84fdb07-09f9-35b8-9df8-b01eb348e4fc/this-nuclear-ipo-stock-just.html | https://finance.yahoo.com/energy/articles/does-standard-nuclear-stdn-gain-030924490.html,2026-09-01T12:19:33+00:00,54.0,73.61602,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9992611747321758
7,VIR,"Vir Biotechnology, Inc. - Common Stock",NASDAQ,11.630000114440918,0.063071,0.173562,0.306742,1.555235,0.198321,0.008243,0.0,79.605246,2026-09-01,77.760307,1967981610.9052296,0.0,5,"Vir Biotechnology to Participate in the Morgan Stanley 24th Annual Global Healthcare Conference | Hyundai Motor America Reports August 2026 Sales | Lunch with Errol Musk: 'I'm Elon's father, not his pal'",https://finance.yahoo.com/healthcare/articles/vir-biotechnology-participate-morgan-stanley-200500393.html | https://finance.yahoo.com/markets/stocks/articles/hyundai-motor-america-reports-august-125500626.html | https://finance.yahoo.com/media-advertising/articles/lunch-with-errol-musk-im-elons-father-not-his-pal-113005115.html,2026-09-01T12:55:00+00:00,50.0,73.596261,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9992611747321758
8,CRK,"Comstock Resources, Inc. Common Stock",NYSE,16.020000457763672,0.110187,0.121849,0.194631,4.692409,0.144286,0.019814,0.0,65.949122,2026-09-01,77.5606,4703801313.36882,0.0,5,"Comstock Resources (CRK) Stock Trades Up, Here Is Why | Comstock Resources Enters Into Letter of Intent to Sell Assets to Azerbaijan State Oil Company for $1.65 Billion | COMSTOCK ANNOUNCES $1.65 BILLION STRATEGIC PARTNERSHIP WITH SOCAR AND $450 MILLION DRILLING JOINT VENTURE WITH JERRY JONES",https://finance.yahoo.com/markets/stocks/articles/comstock-resources-crk-stock-trades-200220776.html | https://finance.yahoo.com/energy/articles/comstock-resources-enters-letter-intent-120719961.html | https://finance.yahoo.com/energy/articles/comstock-announces-1-65-billion-113000316.html,2026-09-01T20:02:20+00:00,50.0,73.42651,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9992611747321758
9,HP,"Helmerich & Payne, Inc. Common Stock",NYSE,46.209999084472656,0.060349,0.08755,0.360357,1.505931,0.109662,0.135383,0.0,68.154414,2026-09-01,76.735108,4618178556.953163,0.0,5,"1 Momentum  Stock to Research Further and 2 We Find Risky | 3 Market-Beating Stocks on Our Watchlist | Who Were the Top USA Drillers, Customers in 1Q 2026?",https://finance.yahoo.com/markets/stocks/articles/1-momentum-stock-research-further-093652645.html | https://finance.yahoo.com/markets/stocks/articles/3-market-beating-stocks-watchlist-070536015.html | https://finance.yahoo.com/energy/articles/were-top-usa-drillers-customers-142655000.html,2026-08-28T09:36:52+00:00,50.0,72.724842,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9992611747321758
10,GOTU,Gaotu Techedu Inc. American Depositary Shares,NYSE,2.1600000858306885,0.13089,0.278107,0.125,3.172648,0.214507,0.013968,0.0,76.470595,2026-09-01,76.292088,507720587.0550027,0.1,5,Gaotu (GOTU) Narrows Its Losses While A New Growth Question Emerges | Gaotu Techedu Inc (GOTU) (Q2 2026) Earnings Call Highlights: Revenue Surges 20. ... | Gaotu (GOTU) Q2 2026 Earnings Call Transcript,https://finance.yahoo.com/markets/stocks/articles/gaotu-gotu-narrows-losses-while-220046814.html | https://finance.yahoo.com/markets/stocks/articles/gaotu-techedu-inc-gotu-q2-190134771.html | https://finance.yahoo.com/m/6aaf7da8-8693-3476-a6fa-de9cbe2ab87d/gaotu-%28gotu%29-q2-2026-earnings.html,2026-08-28T22:00:46+00:00,52.0,72.648275,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9992611747321758
