rank,symbol,name,exchange,price,return_1d,return_5d,return_20d,volume_ratio_20d,price_vs_sma20,sma20_vs_sma50,distance_from_20d_high,rsi_14,price_as_of,price_momentum_score,market_cap,news_signal,news_count,headlines,news_urls,latest_news_utc,news_score,combined_score,signal,research_status,scan_status,history_coverage_ratio
1,DNA,"Ginkgo Bioworks Holdings, Inc. Class A Common Stock",NYSE,10.25,0.194639,0.307398,0.417704,2.735226,0.374824,-0.020148,0.0,81.015036,2026-09-24,79.714997,717847352.82,0.2,5,What Needs To Be True To Buy Twist Bioscience Stock Now? | Kanazawa University research: Scientists observe enzymes breaking down DNA in real time | Kala Bio and Virotek Sign Letter of Intent with U.S. DNA Testing Platform to Resell Virotek's Suite of Genetic Testing Products,https://finance.yahoo.com/markets/stocks/articles/needs-true-buy-twist-bioscience-222937720.html | https://finance.yahoo.com/healthcare/articles/kanazawa-university-research-scientists-observe-141000200.html | https://finance.yahoo.com/healthcare/articles/kala-bio-virotek-sign-letter-113000745.html,2026-09-25T22:29:37+00:00,54.0,75.857748,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998158718468054
2,GRAL,"GRAIL, Inc. - Common Stock",NASDAQ,125.20999908447266,0.153797,0.566104,0.573188,2.732352,0.463571,0.109084,0.0,89.467166,2026-09-24,79.955211,5667698432.26,0.1,5,"Here's Why Grail Stock Surged 55% This Week | MRNA On Track To Be September's No. 2 S&P 500 Stock — But These 5 Smaller Health Care Names Did Even Better | GRAIL (GRAL) Wins FDA Panel Backing, Is It Now Overvalued?",https://finance.yahoo.com/healthcare/articles/heres-why-grail-stock-surged-092534940.html | https://finance.yahoo.com/healthcare/articles/mrna-track-septembers-no-2-032336566.html | https://finance.yahoo.com/healthcare/articles/grail-gral-wins-fda-panel-201736839.html,2026-09-25T09:25:34+00:00,52.0,75.761929,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998158718468054
3,CDNA,"CareDx, Inc. - Common Stock",NASDAQ,61.369998931884766,0.129994,0.130619,0.204278,2.055712,0.174141,0.110016,0.0,81.124938,2026-09-24,79.718121,3294435320.64,0.1,5,"CareDx (CDNA) Stock Jumps 13.0%: Will It Continue to Soar? | CareDx +14% on Fresh $74 Analyst Price Target | Zacks.com featured highlights include CareDx, Ciena, Celestica, Materion and MACOM Technology Solutions",https://finance.yahoo.com/markets/stocks/articles/caredx-cdna-stock-jumps-13-071800723.html | https://finance.yahoo.com/markets/stocks/articles/caredx-14-fresh-74-analyst-180225699.html | https://finance.yahoo.com/markets/stocks/articles/zacks-com-featured-highlights-caredx-093900775.html,2026-09-25T07:18:00+00:00,52.0,75.560403,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998158718468054
4,SECZ,Securitize Corp. Common Stock,NYSE,16.530000686645508,0.151114,0.851064,1.430882,2.557151,0.828338,0.169236,0.0,88.615884,2026-09-24,79.931017,2605720332.6,0.0,5,"ARK Adds Fund On The Blockchain. Fed Proposes Stablecoin Rules. | Securitize Stock Surges 15% as SEC's Tokenization Exemption Turns RWA Theory Into Trading Reality | Securitize (SECZ) Lands First Tokenization Deal Post-SEC OK, Hits 3rd All-Time High",https://finance.yahoo.com/m/b8f1b08b-e545-3cdb-af96-9dc01d872b73/ark-adds-fund-on-the.html | https://finance.yahoo.com/markets/stocks/articles/securitize-stock-surges-15-secs-034249614.html | https://finance.yahoo.com/markets/crypto/articles/securitize-secz-lands-first-tokenization-023301038.html,2026-09-25T20:19:21+00:00,50.0,75.441364,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998158718468054
5,TWST,Twist Bioscience Corporation - Common Stock,NASDAQ,184.02999877929688,0.161073,0.183016,0.226376,1.86467,0.282864,0.15274,0.0,82.403926,2026-09-24,79.163936,12121843642.42,0.1,5,"What Needs To Be True To Buy Twist Bioscience Stock Now? | Twist Bioscience Insider Sold Shares Worth $922,907, According to a Recent SEC Filing | Twist Bioscience Stock Jumped 16% Thursday. Leerink Says Anthropic Made It Happen.",https://finance.yahoo.com/markets/stocks/articles/needs-true-buy-twist-bioscience-222937720.html | https://finance.yahoo.com/markets/stocks/articles/twist-bioscience-insider-sold-shares-204123493.html | https://finance.yahoo.com/markets/stocks/articles/twist-bioscience-stock-jumped-16-043645132.html,2026-09-25T22:29:37+00:00,52.0,75.089345,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998158718468054
6,QMCO,Quantum Corporation - Common Stock,NASDAQ,29.489999771118164,0.135541,0.182438,0.270573,3.787822,0.207122,0.270384,0.0,73.612378,2026-09-24,79.50461,1248508831.68,0.0,5,"Strength Seen in Quantum Corp. (QMCO): Can Its 13.6% Jump Turn into More Strength? | Quantum vs. IBM: Which Data Storage Stock is the Better Buy? | Quantum (QMCO) Joins The S&P Index, Is The Upside Already Priced In?",https://finance.yahoo.com/markets/stocks/articles/strength-seen-quantum-corp-qmco-110300189.html | https://finance.yahoo.com/markets/stocks/articles/quantum-vs-ibm-data-storage-142700469.html | https://finance.yahoo.com/markets/stocks/articles/quantum-qmco-joins-p-index-043321851.html,2026-09-25T11:03:00+00:00,50.0,75.078919,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998158718468054
7,SRZN,"Surrozen, Inc. - Common Stock",NASDAQ,33.68000030517578,1.084158,0.988194,0.420498,15.314711,0.652155,-0.060541,0.0,71.018867,2026-09-24,79.430902,347200103.32,0.0,5,Surrozen Files Investigational New Drug Application for SZN-8141 in Diabetic Macular Edema | Surrozen Announces Submission of IND Application for SZN-8141 for the Treatment of Diabetic Macular Edema | Surrozen to Present at Upcoming Healthcare Investor Conferences,https://finance.yahoo.com/healthcare/articles/surrozen-files-investigational-drug-application-144044802.html | https://finance.yahoo.com/healthcare/articles/surrozen-announces-submission-ind-application-123000308.html | https://finance.yahoo.com/healthcare/articles/surrozen-present-upcoming-healthcare-investor-200500824.html,2026-09-08T14:40:44+00:00,50.0,75.016266,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998158718468054
8,MNTK,"Montauk Renewables, Inc. - Common Stock",NASDAQ,2.880000114440918,0.265934,0.309091,0.617978,5.85321,0.277162,0.142293,0.0,62.962966,2026-09-24,79.201949,417059537.27000004,0.0,5,Best Value Stocks to Buy for September 24th | Best Momentum Stocks to Buy for September 22nd | Is Montauk Renewables (MNTK) Outperforming Other Oils-Energy Stocks This Year?,https://finance.yahoo.com/markets/stocks/articles/best-value-stocks-buy-september-074900062.html | https://finance.yahoo.com/markets/stocks/articles/best-momentum-stocks-buy-september-140000465.html | https://finance.yahoo.com/energy/articles/montauk-renewables-mntk-outperforming-other-134004370.html,2026-09-24T07:49:00+00:00,50.0,74.821657,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998158718468054
9,KRSA,"Korsana Biosciences, Inc. - Common Stock",NASDAQ,37.189998626708984,0.151393,0.102906,0.280207,7.143738,0.213347,0.099184,0.0,53.137699,2026-09-24,78.922711,1411784175.0,0.0,1,Korsana Biosciences Completes Closing of Merger with Cyclerion Therapeutics and Previously Announced Private Placement of $380 Million,https://finance.yahoo.com/healthcare/articles/korsana-biosciences-completes-closing-merger-200500874.html,2026-09-08T20:05:00+00:00,50.0,74.584304,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998158718468054
10,RSKD,Riskified Ltd. Class A Ordinary Shares,NYSE,7.909999847412109,0.107843,0.253566,0.324958,3.118942,0.227975,0.090486,0.0,64.497043,2026-09-24,79.245549,1027253570.52,-0.1,5,"Riskified (RSKD) Stock Jumps 10.4%: Will It Continue to Soar? | Strength Seen in Exodus Movement, Inc. (EXOD): Can Its 6.7% Jump Turn into More Strength? | Riskified Brings Identity Risk Intelligence to Zendesk, Helping Retailers Stop Returns Fraud Without Sacrificing Customer Experience",https://finance.yahoo.com/markets/stocks/articles/riskified-rskd-stock-jumps-10-175800513.html | https://finance.yahoo.com/markets/stocks/articles/strength-seen-exodus-movement-inc-092200222.html | https://finance.yahoo.com/technology/ai/articles/riskified-brings-identity-risk-intelligence-120000751.html,2026-09-23T17:58:00+00:00,48.0,74.558716,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998158718468054
